Latitude_(deg),Longitude_(deg),Activity_concentration,Distance_from_FDNPP,Total_biomass,Tree_height,Elevation,Mushroom_animal_name_encoded,Variance_type_inv_encoded,Wild_Grown_mushroom_encoded,Leaf/ring_age_encoded,Slope_aspect_encoded,Position_on_slope_encoded,Thickness_type_litter_encoded,Leaf_habit_encoded,Parts_animal_encoded,Mushroom_animal_scientific_name_encoded,Parts_encoded
37.0,140.0,7.498315870766981,29.88,,,120.0,129,1,1,43,7,7,58,1,0,191,18
37.0,140.0,7.847371836159788,29.88,,,120.0,129,1,1,43,7,7,58,1,0,191,4
37.0,140.0,7.79934339821592,29.88,,,120.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,5.081404364984463,29.88,,,120.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,5.820082930352362,29.88,,,120.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,7.024649030453636,30.71,,,129.0,129,1,1,43,7,7,58,1,0,191,18
37.0,140.0,7.654443226470112,30.71,,,129.0,129,1,1,43,7,7,58,1,0,191,4
37.0,140.0,7.466799475018602,30.71,,,129.0,129,1,1,43,7,7,58,1,0,191,1
37.0,140.0,4.394449154672439,30.71,,,129.0,129,1,1,43,7,7,58,1,0,191,33
37.0,140.0,4.174387269895637,30.71,,,129.0,129,1,1,43,7,7,58,1,0,191,15
37.0,140.0,4.007333185232471,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,0.0,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,5.525452939131784,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,3.970291913552122,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,5.484796933490655,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,5.351858133476067,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,6.329720905522696,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,5.484796933490655,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,4.553876891600541,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,4.07753744390572,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,4.23410650459726,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,4.709530201312334,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,4.127134385045092,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,6.175867270105761,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,5.8888779583328805,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,6.634633357861686,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,6.3818160174060985,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,5.739792912179234,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,8.216358332386156,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,7.090909822079984,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
